REALM_ID,ENTITY_NAME,INPUT_MODEL_TYPE,OUTPUT_MODEL_TYPE,INPUT_MODEL_VERSION,OUTPUT_MODEL_VERSION,STG_TABLE_NAME,STG_COLUMN_NAME,CRTD_TABLE_NAME,CRTD_COLUMN_NAME,INPUT_ELEMENT_ARRAY_PARENT,INPUT_ELEMENT_FLATTENED_ALIAS,INPUT_ELEMENT_NAME,INPUT_ELEMENT_PATH,OUTPUT_ELEMENT_NAME,OUTPUT_ELEMENT_PATH,IS_PK,PK_ORDER,CREATED_DATETIME,CREATED_BY,REQUIRED,VALID_VALUES,DEFAULT_VALUE,IS_EXTENSION,TYPE,PATTERN,VALIDATION_EXPRESSION,ENRICHMENT_EXPRESSION,IS_PII,GENERATE_HASH,COLNUM
,demonsel,ABCD,ABCD,2021.2.0,2021.2.0,STG_DemonsEL,CUSTOMERLVL_3_DESCR,CRTD_DemonsEL,CUSTOMERLVL_3_DESCR,,,CUSTOMERLVL_3_DESCR,CUSTOMERLVL_3_DESCR,,,FALSE,,,AUTOGENERATED_BY_BP,FALSE,,,TRUE,VARCHAR(200),,,,,FALSE,1
,demonsel,ABCD,ABCD,2021.2.0,2021.2.0,STG_DemonsEL,CUSTOMERLVL_2_DESCR,CRTD_DemonsEL,CUSTOMERLVL_2_DESCR,,,CUSTOMERLVL_2_DESCR,CUSTOMERLVL_2_DESCR,,,FALSE,,,AUTOGENERATED_BY_BP,FALSE,,,TRUE,VARCHAR(200),,,,,FALSE,2
,demonsel,ABCD,ABCD,2021.2.0,2021.2.0,STG_DemonsEL,CUSTOMERLVL_1_DESCR,CRTD_DemonsEL,CUSTOMERLVL_1_DESCR,,,CUSTOMERLVL_1_DESCR,CUSTOMERLVL_1_DESCR,,,FALSE,,,AUTOGENERATED_BY_BP,FALSE,,,TRUE,VARCHAR(200),,,,,FALSE,3
,demonsel,ABCD,ABCD,2021.2.0,2021.2.0,STG_DemonsEL,ATTRIBUTE_1,CRTD_DemonsEL,ATTRIBUTE_1,,,ATTRIBUTE_1,ATTRIBUTE_1,,,FALSE,,,AUTOGENERATED_BY_BP,FALSE,,,TRUE,VARCHAR(200),,,,,FALSE,4
